REF_DATE,GEO,Population centre and rural areas,Class of worker,North American Industry Classification System (NAICS),VALUE
Dec-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],157.7
Jan-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],158.3
Feb-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],157
Mar-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],166.6
Apr-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],169
May-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],164.9
Jun-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],157.5
Jul-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],157
Aug-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],152.7
Sep-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],150.8
May-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",168.4
Jun-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",173.2
Jul-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",177.5
Aug-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",176.5
Sep-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",171
Oct-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",171.2
Nov-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",175.6
Dec-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",161.8
Jan-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",165.9
Feb-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",165.7
Mar-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",162.5
Apr-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",165
May-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",166.4
Jun-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",162
Jul-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",160.3
Aug-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",163.2
Sep-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",168.6
Oct-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",162.1
Nov-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",163
Dec-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",166
Jan-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",165.8
Feb-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",168.8
Mar-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",170
Apr-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",169.3
May-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",176.1
Jun-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",182.3
Jul-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",184.6
Aug-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",177.4
Sep-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",181.1
Oct-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",178.4
Nov-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",177.7
Dec-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",178.8
Jan-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",177.6
Feb-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",179.8
Mar-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",187.2
Apr-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",185.2
May-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",193.4
Jun-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",189.6
Jul-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",188.5
Aug-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",189
Sep-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",179.8
Oct-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",178.4
Nov-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",178.9
Dec-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",180.7
Jan-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",180.9
Feb-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",185.7
Mar-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",189
Apr-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",189.5
May-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",191.3
Jun-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",192
Jul-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",190.3
Aug-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",192.3
Sep-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",195.5
May-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",268.3
Jun-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",280.7
Jul-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",275.6
Aug-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",268.4
Sep-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",263.4
Oct-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",259.2
Nov-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",266.4
Dec-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",263.9
Jan-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",258.4
Feb-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",277.7
Mar-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",285.4
Apr-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",288.7
May-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",285.1
Jun-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",289.7
Jul-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",287.4
Aug-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",282.8
Sep-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",291.6
Oct-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",294.5
Nov-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",285
Dec-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",283.8
Jan-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",274.1
Feb-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",275.5
Mar-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",276.8
Apr-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",273.4
May-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",282.8
Jun-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",289.5
Jul-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",295.9
Aug-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",296.8
Sep-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",302.8
Oct-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",312.6
Nov-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",293.7
Dec-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",295.1
Jan-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",292.8
Feb-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",300.8
Mar-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",298.2
Apr-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",304.2
May-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",311.4
Jun-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",299.5
Jul-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",293.9
Aug-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",293.3
Sep-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",295.9
Oct-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",299.7
Nov-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",303.1
Dec-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",307.9
Jan-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",312.8
Feb-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",309.6
Mar-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",310.8
Apr-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",306.9
May-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",321
Jun-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",322.6
Jul-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",319
Aug-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",317.8
Sep-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",307.3
May-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",111.4
Jun-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",106.9
Jul-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",111.2
Aug-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",99.2
Sep-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",95.8
Oct-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",89.3
Nov-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",86.9
Dec-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",87.7
Jan-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",77.7
Feb-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",76.1
Mar-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",82.2
Apr-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",83.8
May-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",89.6
Jun-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",91.2
Jul-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",93.9
Aug-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",92.7
Sep-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",93.4
Oct-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",91.7
Nov-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",93.1
Dec-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",95.6
Jan-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",88.8
Feb-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",88.9
Mar-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",92
Apr-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",96.6
May-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",91.5
Jun-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",92.1
Jul-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",93.5
Aug-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",97.2
Sep-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",96.4
Oct-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",90.3
Nov-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",89.8
Dec-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",80.2
Jan-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",85.2
Feb-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",88.3
Mar-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",88.4
Apr-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",91.2
May-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",97.6
Jun-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",101.9
Jul-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",100.4
Aug-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",94.9
Sep-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",93.9
Oct-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",101.3
Nov-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",96.6
Dec-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",96.7
Jan-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",93.8
Feb-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",96.7
Mar-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",93.1
Apr-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",92.9
May-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",95.9
Jun-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",99.2
Jul-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",100.8
Aug-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",100
Sep-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",93.2
May-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],189.5
Jun-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],188
Jul-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],159.2
Aug-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],146
Sep-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],190.4
Oct-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],190.6
Nov-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],195.9
Dec-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],196.7
Jan-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],200.3
Feb-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],208.4
Mar-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],195.1
Apr-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],196.3
May-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],194
Jun-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],197.1
Jul-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],167.8
Aug-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],162.8
Sep-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],212.2
Oct-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],212.3
Nov-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],220.8
Dec-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],222.4
Jan-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],221.6
Feb-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],222.8
Mar-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],221.2
Apr-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],226.7
May-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],226.7
Jun-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],222.8
Jul-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],181
Aug-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],185.8
Sep-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],235.3
Oct-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],233.8
Nov-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],234.8
Dec-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],231.9
Jan-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],231.6
Feb-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],237.4
Mar-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],226.2
Apr-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],233.5
May-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],224.3
Jun-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],221.1
Jul-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],178.2
Aug-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],180.9
Sep-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],222.9
Oct-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],227.6
Nov-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],226.3
Dec-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],230.5
Jan-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],234.6
Feb-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],237.9
Mar-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],232.9
Apr-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],231.2
May-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],235.1
Jun-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],229.4
Jul-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],186.2
Aug-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],175.7
Sep-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],228.3
May-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],344.2
Jun-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],351.1
Jul-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],356.5
Aug-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],357.7
Sep-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],355.2
Oct-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],361.7
Nov-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],366.1
Dec-21,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],374.2
Jan-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],371
Feb-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],374.8
Mar-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],372.3
Apr-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],369.1
May-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],378.7
Jun-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],372.5
Jul-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],369.9
Aug-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],373.3
Sep-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],376.3
Oct-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],373.5
Nov-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],371.1
Dec-22,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],366.5
Jan-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],366.3
Feb-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],376.5
Mar-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],370.4
Apr-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],366.1
May-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],375.5
Jun-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],385.2
